frame,id,x1,y1,x2,y2,vehicles_in_frame
3,2,89,688,208,761,8
3,2,290,524,444,647,8
3,2,1392,363,1456,425,8
3,2,1513,410,1577,478,8
3,2,1490,498,1564,578,8
3,2,1477,235,1529,287,8
3,2,1380,462,1445,563,8
3,2,1428,287,1492,351,8
4,2,82,723,148,761,11
4,2,287,530,438,650,11
4,2,1394,352,1457,413,11
4,2,1512,411,1573,476,11
4,2,1478,477,1571,577,11
4,2,1486,227,1537,277,11
4,2,1385,441,1448,537,11
4,2,1428,278,1494,343,11
4,2,1349,600,1485,712,11
4,2,1191,264,1262,320,11
4,2,1522,329,1580,394,11
5,2,78,745,106,761,15
5,2,283,538,434,657,15
5,2,1400,346,1462,406,15
5,2,1514,411,1576,477,15
5,2,1485,489,1568,577,15
5,2,1501,220,1552,269,15
5,2,1396,423,1458,516,15
5,2,1438,270,1500,332,15
5,2,1366,568,1489,671,15
5,2,1202,254,1272,309,15
5,2,1526,329,1583,393,15
5,2,1339,265,1390,317,15
5,2,1465,188,1520,232,15
5,2,459,430,600,533,15
5,2,656,294,762,379,15
6,2,281,541,432,660,14
6,2,1396,339,1456,397,14
6,2,1508,410,1572,478,14
6,2,1474,474,1568,577,14
6,2,1504,214,1555,263,14
6,2,1396,406,1456,496,14
6,2,1439,258,1500,318,14
6,2,1363,550,1488,657,14
6,2,1520,329,1577,393,14
6,2,1343,253,1388,296,14
6,2,1477,184,1529,226,14
6,2,459,431,601,534,14
6,2,658,294,763,379,14
6,2,1390,169,1463,216,14
7,2,1399,330,1456,386,11
7,2,1508,411,1572,478,11
7,2,1474,471,1570,577,11
7,2,1512,209,1561,256,11
7,2,1401,393,1463,483,11
7,2,1448,246,1508,305,11
7,2,1370,539,1489,642,11
7,2,1521,330,1578,394,11
7,2,1351,245,1387,281,11
7,2,1405,166,1476,211,11
7,2,1339,296,1398,353,11
8,2,1404,316,1465,376,9
8,2,1515,411,1578,478,9
8,2,1480,469,1576,577,9
8,2,1412,382,1471,468,9
8,2,1460,237,1519,296,9
8,2,1383,533,1491,629,9
8,2,1528,329,1586,393,9
8,2,1420,164,1491,209,9
8,2,1358,279,1415,335,9
9,2,1397,305,1461,368,9
9,2,1508,410,1574,479,9
9,2,1483,487,1564,577,9
9,2,1411,369,1469,452,9
9,2,1457,230,1517,289,9
9,2,1379,530,1483,623,9
9,2,1522,331,1579,394,9
9,2,1418,162,1492,208,9
9,2,1362,262,1419,316,9
10,2,1404,300,1463,359,9
10,2,1512,411,1577,479,9
10,2,1490,495,1564,578,9
10,2,1418,359,1477,441,9
10,2,1466,224,1523,279,9
10,2,1384,522,1489,619,9
10,2,1526,331,1583,395,9
10,2,1430,162,1504,207,9
10,2,1375,254,1430,306,9
11,2,1401,296,1458,353,12
11,2,1507,410,1573,479,12
11,2,1487,499,1558,577,12
11,2,1416,352,1473,431,12
11,2,1470,217,1524,268,12
11,2,1384,511,1483,604,12
11,2,1521,331,1578,394,12
11,2,1437,160,1512,206,12
11,2,1380,247,1435,298,12
11,2,1325,398,1397,486,12
11,2,1295,652,1409,757,12
11,2,1361,195,1417,252,12
12,2,1406,293,1462,350,13
12,2,1511,410,1576,479,13
12,2,1491,499,1563,577,13
12,2,1423,346,1481,425,13
12,2,1475,209,1527,259,13
12,2,1383,474,1497,584,13
12,2,1521,331,1577,395,13
12,2,435,451,563,545,13
12,2,1460,160,1533,203,13
12,2,1394,239,1452,292,13
12,2,1338,371,1405,454,13
12,2,1312,635,1417,731,13
12,2,1367,188,1425,247,13
13,2,1405,292,1459,346,12
